,Age,nb_subjets,Family_size,Internet,Study,Sleep,Media,Note_avant,Online_mode,doubts_online,performance_online,Gender_Male,Home_location_Urban,Education_Post Graduate,Education_School,Education_Under Graduate,Device_used_Desktop,Device_used_Laptop,Device_used_Mobile,Economic_status_Middle Class,Economic_status_Poor,Economic_status_Rich,Sport_Yes,Monitoring_Yes,Gaming_Yes,separate_room_Yes,group_study_yes,interest_Both,interest_Practical,interest_Theory,Satisfaction_online_Average,Satisfaction_online_Bad,Satisfaction_online_Good
0,0.2903225806451613,0.5263157894736842,0.25,1.0,0.2222222222222222,0.5555555555555556,0.0,1.0,0.0,0.0,0.5,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0.3225806451612903,0.3157894736842105,0.25,0.0,0.6666666666666666,0.4444444444444444,0.0,1.0,0.0,0.0,0.125,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0
2,0.2903225806451613,0.21052631578947367,0.375,0.25,0.5555555555555556,0.6666666666666666,0.0,0.7777777777777778,0.0,0.0,0.5,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
3,0.2903225806451613,0.21052631578947367,0.25,0.75,0.2222222222222222,0.5555555555555556,0.1111111111111111,1.0,0.0,0.25,0.25,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
4,0.2903225806451613,0.21052631578947367,0.25,0.5,0.7777777777777778,0.6666666666666666,0.1111111111111111,0.8888888888888888,0.5,0.5,0.5,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
5,0.2903225806451613,0.21052631578947367,0.25,0.75,0.2222222222222222,0.5555555555555556,0.1111111111111111,1.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
6,0.3225806451612903,0.21052631578947367,0.375,1.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.75,0.5,0.5,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
7,0.25806451612903225,0.15789473684210525,0.25,0.75,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.5,0.5,0.5,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0
8,0.3225806451612903,0.21052631578947367,0.25,0.75,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.8888888888888888,0.75,0.0,0.875,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0
9,0.3548387096774194,0.42105263157894735,0.25,0.5,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.8888888888888888,0.5,0.25,0.5,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
10,0.2903225806451613,0.15789473684210525,0.125,1.0,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.25,0.0,0.875,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
11,0.5161290322580645,0.21052631578947367,0.0,0.5,0.2222222222222222,0.6666666666666666,0.0,0.7777777777777778,0.5,0.5,0.625,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0
12,0.3548387096774194,0.3157894736842105,0.25,0.75,0.6666666666666666,0.4444444444444444,0.0,0.8888888888888888,0.75,0.75,0.5,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0
